Date,Open,High,Low,Close,Volume
2001-01-01,45.44,45.44,45.44,45.44,0
2001-01-02,44.62,44.81,43.31,44.0,7803200
2001-01-03,43.44,50.87,43.19,50.62,21252400
2001-01-04,51.5,54.0,50.81,52.0,26409800
2001-01-05,50.75,51.5,48.31,48.94,16215700
2001-01-08,49.0,50.12,48.31,49.25,9938300
2001-01-09,49.87,50.0,47.87,48.69,7285100
2001-01-10,49.5,51.69,48.94,50.94,10867100
2001-01-11,51.12,54.25,51.12,54.12,16078740
2001-01-12,54.0,54.06,52.37,53.31,8946800
2001-01-15,53.31,53.31,53.31,53.31,0
2001-01-16,53.5,54.69,52.5,53.19,10508500
2001-01-17,52.94,54.06,52.12,53.0,10317300
2001-01-18,51.5,51.87,50.56,51.44,13565600
2001-01-19,50.75,51.69,49.81,50.56,10789100
2001-01-22,50.56,52.19,50.06,50.87,10581500
2001-01-23,50.12,52.06,50.12,51.69,8794600
2001-01-24,52.69,53.5,52.25,53.25,9316500
2001-01-25,53.0,53.87,51.75,53.06,8347100
2001-01-26,53.44,54.5,52.75,54.19,7967800
2001-01-29,54.19,56.0,54.18,55.12,9494400
2001-01-30,55.1,56.18,54.63,55.98,9452800
2001-01-31,56.49,57.33,54.5,54.99,13105800
2001-02-01,54.99,55.85,53.51,55.85,9175000
2001-02-02,55.0,55.33,54.29,54.64,7075200
2001-02-05,54.51,54.95,53.7,54.6,5273700
2001-02-06,54.01,54.46,52.0,52.28,7560200
2001-02-07,52.35,53.5,51.88,52.33,7988800
2001-02-08,52.33,53.05,51.53,51.68,5730800
2001-02-09,51.69,52.6,51.05,51.95,5490500
2001-02-12,52.47,53.1,51.68,52.55,5246300
2001-02-13,52.54,53.7,51.1,51.14,7334700
2001-02-14,51.75,51.88,50.9,51.19,6835100
2001-02-15,51.38,52.75,50.9,51.11,7408400
2001-02-16,50.4,52.0,50.25,51.99,7364800
2001-02-19,51.99,51.99,51.99,51.99,0
2001-02-20,51.99,52.6,49.63,49.95,9075200
2001-02-21,48.95,50.1,47.01,47.35,9835100
2001-02-22,47.75,48.3,45.39,48.3,12409800
2001-02-23,47.05,48.25,46.2,47.05,9708400
2001-02-26,48.0,49.3,46.81,48.55,8783500
2001-02-27,48.95,49.78,46.85,47.6,11743300
2001-02-28,47.89,48.0,45.3,46.66,10510600
2001-03-01,45.6,46.25,44.78,46.11,10551800
2001-03-02,45.6,47.6,45.19,45.8,7559700
2001-03-05,46.0,46.95,45.3,46.76,5988200
2001-03-06,48.25,48.95,47.5,47.96,6844500
2001-03-07,48.4,50.45,48.02,50.25,7296600
2001-03-08,50.25,51.19,49.8,50.24,7064400
2001-03-09,49.6,49.8,47.8,48.95,6377600
2001-03-12,47.5,47.85,45.49,45.49,8549500
2001-03-13,46.75,47.8,45.6,47.4,7065900
2001-03-14,45.0,45.97,43.39,43.75,16150200
2001-03-15,44.9,45.95,44.75,45.26,8561300
2001-03-16,45.26,45.9,44.12,44.58,10739300
2001-03-19,44.4,45.4,42.65,45.15,9742500
2001-03-20,45.46,45.46,42.5,42.59,10186500
2001-03-21,42.79,43.13,40.05,40.2,12029400
2001-03-22,40.05,40.06,37.58,38.91,15677400
2001-03-23,40.3,41.9,39.81,41.71,10763200
2001-03-26,42.15,42.99,41.65,42.11,8319900
2001-03-27,42.11,43.4,41.1,43.36,12255000
2001-03-28,42.7,43.35,41.95,42.55,7315300
2001-03-29,42.8,43.25,42.02,43.0,6688200
